date,close,Name
2018-01-02,52.99,AAL
2018-01-03,52.34,AAL
2018-01-04,52.67,AAL
2018-01-05,52.65,AAL
2018-01-08,NA,AAL
2018-01-09,52.08,AAL
2018-01-10,NA,AAL
2018-01-11,56.42,AAL
2018-01-12,58.47,AAL
2018-01-16,57.98,AAL
2018-01-17,58.16,AAL
2018-01-18,58.34,AAL
2018-01-19,NA,AAL
2018-01-22,NA,AAL
2018-01-23,58.29,AAL
2018-01-24,54.79,AAL
2018-01-25,NA,AAL
2018-01-26,53.07,AAL
2018-01-29,NA,AAL
2018-01-30,52.59,AAL
2018-01-31,54.32,AAL
2018-02-01,53.88,AAL
2018-02-02,52.1,AAL
2018-02-05,49.76,AAL
2018-02-06,51.18,AAL
2018-02-07,51.4,AAL
2018-01-02,172.26,AAPL
2018-01-03,NA,AAPL
2018-01-04,173.03,AAPL
2018-01-05,175.0,AAPL
2018-01-08,NA,AAPL
2018-01-09,174.33,AAPL
2018-01-10,174.29,AAPL
2018-01-11,175.28,AAPL
2018-01-12,177.09,AAPL
2018-01-16,176.19,AAPL
2018-01-17,179.1,AAPL
2018-01-18,179.26,AAPL
2018-01-19,178.46,AAPL
2018-01-22,177.0,AAPL
2018-01-23,177.04,AAPL
2018-01-24,174.22,AAPL
2018-01-25,171.11,AAPL
2018-01-26,171.51,AAPL
2018-01-29,167.96,AAPL
2018-01-30,NA,AAPL
2018-01-31,167.43,AAPL
2018-02-01,167.78,AAPL
2018-02-02,160.5,AAPL
2018-02-05,156.49,AAPL
2018-02-06,163.03,AAPL
2018-02-07,159.54,AAPL
2018-01-02,NA,AAP
2018-01-03,NA,AAP
2018-01-04,111.0,AAP
2018-01-05,112.18,AAP
2018-01-08,111.39,AAP
2018-01-09,110.49,AAP
2018-01-10,110.59,AAP
2018-01-11,112.95,AAP
2018-01-12,115.94,AAP
2018-01-16,113.9,AAP
2018-01-17,115.35,AAP
2018-01-18,115.53,AAP
2018-01-19,NA,AAP
2018-01-22,118.03,AAP
2018-01-23,119.1,AAP
2018-01-24,NA,AAP
2018-01-25,120.92,AAP
2018-01-26,123.64,AAP
2018-01-29,122.89,AAP
2018-01-30,119.27,AAP
2018-01-31,116.99,AAP
2018-02-01,117.29,AAP
2018-02-02,113.93,AAP
2018-02-05,109.86,AAP
2018-02-06,112.2,AAP
2018-02-07,NA,AAP
2018-01-02,98.41,ABBV
2018-01-03,99.95,ABBV
2018-01-04,99.38,ABBV
2018-01-05,101.11,ABBV
2018-01-08,99.49,ABBV
2018-01-09,100.24,ABBV
2018-01-10,99.69,ABBV
2018-01-11,99.27,ABBV
2018-01-12,100.34,ABBV
2018-01-16,102.49,ABBV
2018-01-17,104.36,ABBV
2018-01-18,103.81,ABBV
2018-01-19,104.64,ABBV
2018-01-22,NA,ABBV
2018-01-23,105.38,ABBV
2018-01-24,105.51,ABBV
2018-01-25,108.3,ABBV
2018-01-26,NA,ABBV
2018-01-29,122.31,ABBV
2018-01-30,NA,ABBV
2018-01-31,112.22,ABBV
2018-02-01,116.34,ABBV
2018-02-02,115.17,ABBV
2018-02-05,109.51,ABBV
2018-02-06,111.2,ABBV
2018-02-07,113.62,ABBV
2018-01-02,94.04,ABC
2018-01-03,NA,ABC
2018-01-04,94.18,ABC
2018-01-05,95.32,ABC
2018-01-08,96.9,ABC
2018-01-09,97.52,ABC
2018-01-10,NA,ABC
2018-01-11,98.14,ABC
2018-01-12,99.0,ABC
2018-01-16,99.55,ABC
2018-01-17,NA,ABC
2018-01-18,NA,ABC
2018-01-19,NA,ABC
2018-01-22,102.66,ABC
2018-01-23,102.81,ABC
2018-01-24,104.62,ABC
2018-01-25,104.37,ABC
2018-01-26,105.48,ABC
2018-01-29,105.09,ABC
2018-01-30,102.46,ABC
2018-01-31,99.67,ABC
2018-02-01,99.29,ABC
2018-02-02,NA,ABC
2018-02-05,91.9,ABC
2018-02-06,91.54,ABC
2018-02-07,94.22,ABC
2018-01-02,58.79,ABT
2018-01-03,58.92,ABT
2018-01-04,58.82,ABT
2018-01-05,NA,ABT
2018-01-08,58.82,ABT
2018-01-09,58.92,ABT
2018-01-10,58.83,ABT
2018-01-11,58.95,ABT
2018-01-12,58.84,ABT
2018-01-16,58.44,ABT
2018-01-17,NA,ABT
2018-01-18,NA,ABT
2018-01-19,59.31,ABT
2018-01-22,NA,ABT
2018-01-23,59.23,ABT
2018-01-24,61.72,ABT
2018-01-25,63.22,ABT
2018-01-26,63.42,ABT
2018-01-29,63.31,ABT
2018-01-30,62.44,ABT
2018-01-31,62.16,ABT
2018-02-01,62.18,ABT
2018-02-02,61.69,ABT
2018-02-05,58.73,ABT
2018-02-06,58.86,ABT
2018-02-07,58.67,ABT
2018-01-02,153.84,ACN
2018-01-03,154.55,ACN
2018-01-04,156.38,ACN
2018-01-05,157.67,ACN
2018-01-08,158.93,ACN
2018-01-09,159.46,ACN
2018-01-10,158.9,ACN
2018-01-11,159.11,ACN
2018-01-12,160.11,ACN
2018-01-16,NA,ACN
2018-01-17,160.21,ACN
2018-01-18,160.94,ACN
2018-01-19,161.75,ACN
2018-01-22,161.43,ACN
2018-01-23,160.88,ACN
2018-01-24,160.6,ACN
2018-01-25,NA,ACN
2018-01-26,162.55,ACN
2018-01-29,161.19,ACN
2018-01-30,159.7,ACN
2018-01-31,160.7,ACN
2018-02-01,160.46,ACN
2018-02-02,156.9,ACN
2018-02-05,151.83,ACN
2018-02-06,154.69,ACN
2018-02-07,NA,ACN
2018-01-02,NA,ADBE
2018-01-03,181.04,ADBE
2018-01-04,183.22,ADBE
2018-01-05,NA,ADBE
2018-01-08,185.04,ADBE
2018-01-09,186.7,ADBE
2018-01-10,NA,ADBE
2018-01-11,188.92,ADBE
2018-01-12,195.05,ADBE
2018-01-16,192.46,ADBE
2018-01-17,196.49,ADBE
2018-01-18,196.2,ADBE
2018-01-19,195.73,ADBE
2018-01-22,197.84,ADBE
